V1,V2,V3
931,512650,167950
932,513150,167950
933,514650,167950
934,526650,167950
935,527150,167950
936,528150,167950
937,528650,167950
938,529150,167950
939,535650,167950
940,536150,167950
941,536650,167950
942,538650,167950
943,539150,167950
944,541650,167950
945,544150,167950
946,544650,167950
947,547650,167950
948,550150,167950
949,550650,167950
950,551150,167950
951,556150,167950
952,556650,167950
953,557150,167950
954,514650,167450
955,527650,167450
956,528150,167450
957,528650,167450
958,529650,167450
959,530150,167450
960,531650,167450
961,532150,167450
962,535650,167450
963,536150,167450
964,536650,167450
965,538150,167450
966,538650,167450
967,539150,167450
968,539650,167450
969,541150,167450
970,541650,167450
971,543150,167450
972,544150,167450
973,546150,167450
974,546650,167450
975,549150,167450
976,550650,167450
977,551650,167450
978,556650,167450
979,557150,167450
980,511150,166950
981,511650,166950
982,514150,166950
983,521150,166950
984,524150,166950
985,524650,166950
986,528650,166950
987,530150,166950
988,530650,166950
989,531150,166950
990,532150,166950
991,535150,166950
992,536650,166950
993,537650,166950
994,538650,166950
995,543650,166950
996,546150,166950
997,547650,166950
998,549150,166950
999,550150,166950
1000,551150,166950
1001,552150,166950
1002,553650,166950
1003,554150,166950
1004,556150,166950
1005,556650,166950
1006,511150,166450
1007,513650,166450
1008,519650,166450
1009,520650,166450
1010,521150,166450
1011,526650,166450
1012,527650,166450
1013,530150,166450
1014,530650,166450
1015,534150,166450
1016,538650,166450
1017,539150,166450
1018,543150,166450
1019,543650,166450
1020,544150,166450
1021,544650,166450
1022,545650,166450
1023,548150,166450
1024,552150,166450
1025,553150,166450
1026,555150,166450
1027,513150,165950
1028,520650,165950
1029,526150,165950
1030,533650,165950
1031,534150,165950
1032,537150,165950
1033,537650,165950
1034,538150,165950
1035,538650,165950
1036,539150,165950
1037,542650,165950
1038,543150,165950
1039,544150,165950
1040,544650,165950
1041,545150,165950
1042,545650,165950
1043,546150,165950
1044,547650,165950
1045,548150,165950
1046,552150,165950
1047,552650,165950
1048,553150,165950
1049,509650,165450
1050,520650,165450
1051,527650,165450
1052,529150,165450
1053,530150,165450
1054,530650,165450
1055,531650,165450
1056,533650,165450
1057,535650,165450
1058,536150,165450
1059,537650,165450
1060,538150,165450
1061,538650,165450
1062,539150,165450
1063,540150,165450
1064,540650,165450
1065,541150,165450
1066,541650,165450
1067,546650,165450
1068,547650,165450
1069,549150,165450
1070,549650,165450
1071,509650,164950
1072,511650,164950
1073,527650,164950
1074,530150,164950
1075,531150,164950
1076,534650,164950
1077,535650,164950
1078,536150,164950
1079,536650,164950
1080,537650,164950
1081,538150,164950
1082,538650,164950
1083,540150,164950
1084,541150,164950
1085,541650,164950
1086,545150,164950
1087,545650,164950
1088,547150,164950
1089,550650,164950
1090,551150,164950
1091,552150,164950
1092,509150,164450
1093,511150,164450
1094,522150,164450
1095,523150,164450
1096,523650,164450
1097,529650,164450
1098,533650,164450
1099,534150,164450
1100,541150,164450
1101,541650,164450
1102,542150,164450
1103,542650,164450
1104,543650,164450
1105,544150,164450
1106,545150,164450
1107,545650,164450
1108,546150,164450
1109,546650,164450
1110,549150,164450
1111,549650,164450
1112,551150,164450
1113,507650,163950
1114,508650,163950
1115,510150,163950
1116,510650,163950
1117,520650,163950
1118,521150,163950
1119,521650,163950
1120,523150,163950
1121,523650,163950
1122,526150,163950
1123,528650,163950
1124,531650,163950
1125,532150,163950
1126,533650,163950
1127,534150,163950
1128,535150,163950
1129,539650,163950
1130,542150,163950
1131,542650,163950
1132,543650,163950
1133,546650,163950
1134,548650,163950
1135,549150,163950
1136,549650,163950
1137,550150,163950
1138,507150,163450
1139,507650,163450
1140,508150,163450
1141,509650,163450
1142,510150,163450
1143,510650,163450
1144,521150,163450
1145,521650,163450
1146,525650,163450
1147,526150,163450
1148,527650,163450
1149,528150,163450
1150,528650,163450
1151,531650,163450
1152,532150,163450
1153,534150,163450
1154,535650,163450
1155,536150,163450
1156,538650,163450
1157,540150,163450
1158,544650,163450
1159,546650,163450
1160,549150,163450
1161,549650,163450
1162,550150,163450
1163,550650,163450
1164,507150,162950
1165,507650,162950
1166,509650,162950
1167,518650,162950
1168,519150,162950
1169,521150,162950
1170,526150,162950
1171,528150,162950
1172,528650,162950
1173,529150,162950
1174,529650,162950
1175,530150,162950
1176,537150,162950
1177,537650,162950
1178,538150,162950
1179,538650,162950
1180,539650,162950
1181,540150,162950
1182,540650,162950
1183,541150,162950
1184,545650,162950
1185,546150,162950
1186,547150,162950
1187,547650,162950
1188,550150,162950
1189,550650,162950
1190,551650,162950
1191,506650,162450
1192,507150,162450
1193,507650,162450
1194,508150,162450
1195,508650,162450
1196,509150,162450
1197,520150,162450
1198,524150,162450
1199,527650,162450
1200,528150,162450
1201,528650,162450
1202,529650,162450
1203,530150,162450
1204,534650,162450
1205,537150,162450
1206,537650,162450
1207,541150,162450
1208,542650,162450
1209,545650,162450
1210,546650,162450
1211,547150,162450
1212,547650,162450
1213,548150,162450
1214,548650,162450
1215,549150,162450
1216,550150,162450
1217,551650,162450
1218,552150,162450
1219,505650,161950
1220,506150,161950
1221,506650,161950
1222,507150,161950
1223,507650,161950
1224,508150,161950
1225,518650,161950
1226,519150,161950
1227,521150,161950
1228,522150,161950
1229,524150,161950
1230,528150,161950
1231,528650,161950
1232,529150,161950
1233,529650,161950
1234,530150,161950
1235,532650,161950
1236,533150,161950
1237,534150,161950
1238,534650,161950
1239,539150,161950
1240,541150,161950
1241,546150,161950
1242,546650,161950
1243,549150,161950
1244,551650,161950
1245,505150,161450
1246,506150,161450
1247,506650,161450
1248,507650,161450
1249,518150,161450
1250,518650,161450
1251,519150,161450
1252,526650,161450
1253,527150,161450
1254,528650,161450
1255,530150,161450
1256,530650,161450
1257,531150,161450
1258,532650,161450
1259,534650,161450
1260,536150,161450
1261,536650,161450
1262,537150,161450
1263,538650,161450
1264,539150,161450
1265,539650,161450
1266,541150,161450
1267,541650,161450
1268,542150,161450
1269,542650,161450
1270,547650,161450
1271,548150,161450
1272,548650,161450
1273,549150,161450
1274,549650,161450
1275,551650,161450
1276,505150,160950
1277,505650,160950
1278,506150,160950
1279,507150,160950
1280,518150,160950
1281,518650,160950
1282,519650,160950
1283,525150,160950
1284,527150,160950
1285,527650,160950
1286,530150,160950
1287,530650,160950
1288,531150,160950
1289,532650,160950
1290,533650,160950
1291,534650,160950
1292,536650,160950
1293,537650,160950
1294,538650,160950
1295,539150,160950
1296,540150,160950
1297,541150,160950
1298,542150,160950
1299,542650,160950
1300,546650,160950
1301,547650,160950
1302,548150,160950
1303,548650,160950
1304,549150,160950
1305,550150,160950
1306,505650,160450
1307,506150,160450
1308,506650,160450
1309,522150,160450
1310,522650,160450
1311,525150,160450
1312,525650,160450
1313,527150,160450
1314,530650,160450
1315,531150,160450
1316,532650,160450
1317,533150,160450
1318,533650,160450
1319,536150,160450
1320,537650,160450
1321,538150,160450
1322,538650,160450
1323,539150,160450
1324,539650,160450
1325,540150,160450
1326,542150,160450
1327,545650,160450
1328,546150,160450
1329,546650,160450
1330,547150,160450
1331,548650,160450
1332,549150,160450
1333,550150,160450
1334,505150,159950
