shapeid	x	y
929	46.65687	6.27781
930	46.657	6.29087
931	46.65707	6.29741
932	46.65713	6.30394
933	46.65732	6.32353
934	46.65875	6.4803
935	46.65881	6.48683
936	46.65891	6.49989
937	46.65897	6.50642
938	46.65902	6.51296
939	46.65968	6.59787
940	46.65973	6.60441
941	46.65977	6.61094
942	46.65996	6.63707
943	46.66001	6.6436
944	46.66023	6.67626
945	46.66044	6.70892
946	46.66049	6.71546
947	46.66073	6.75465
948	46.66092	6.78731
949	46.66096	6.79385
950	46.66099	6.80038
951	46.66134	6.8657
952	46.66137	6.87224
953	46.6614	6.87877
954	46.65283	6.32362
955	46.65436	6.49344
956	46.65442	6.49997
957	46.65447	6.5065
958	46.65458	6.51956
959	46.65463	6.5261
960	46.65478	6.54569
961	46.65483	6.55222
962	46.65518	6.59794
963	46.65523	6.60448
964	46.65528	6.61101
965	46.65542	6.6306
966	46.65546	6.63713
967	46.65551	6.64367
968	46.65555	6.6502
969	46.65569	6.66979
970	46.65573	6.67633
971	46.65586	6.69592
972	46.65595	6.70898
973	46.65611	6.73511
974	46.65615	6.74164
975	46.65635	6.7743
976	46.65646	6.7939
977	46.65653	6.80696
978	46.65687	6.87228
979	46.65691	6.87882
980	46.64787	6.278
981	46.64794	6.28453
982	46.64827	6.31719
983	46.64913	6.40862
984	46.64948	6.4478
985	46.64953	6.45433
986	46.64997	6.50658
987	46.65013	6.52617
988	46.65018	6.5327
989	46.65023	6.53923
990	46.65034	6.5523
991	46.65064	6.59148
992	46.65078	6.61108
993	46.65087	6.62414
994	46.65097	6.6372
995	46.65141	6.70251
996	46.65161	6.73517
997	46.65173	6.75476
998	46.65185	6.77436
999	46.65192	6.78742
1000	46.652	6.80048
1001	46.65207	6.81355
1002	46.65218	6.83314
1003	46.65221	6.83967
1004	46.65234	6.8658
1005	46.65238	6.87233
1006	46.64338	6.2781
1007	46.6437	6.31075
1008	46.64445	6.38911
1009	46.64457	6.40217
1010	46.64463	6.4087
1011	46.64526	6.48054
1012	46.64537	6.4936
1013	46.64563	6.52625
1014	46.64569	6.53278
1015	46.64604	6.57849
1016	46.64647	6.63727
1017	46.64651	6.6438
1018	46.64687	6.69604
1019	46.64691	6.70258
1020	46.64695	6.70911
1021	46.64699	6.71564
1022	46.64707	6.7287
1023	46.64727	6.76135
1024	46.64757	6.8136
1025	46.64764	6.82666
1026	46.64778	6.85279
1027	46.63914	6.30431
1028	46.64008	6.40226
1029	46.64071	6.47409
1030	46.64149	6.57203
1031	46.64154	6.57856
1032	46.64183	6.61774
1033	46.64188	6.62427
1034	46.64192	6.6308
1035	46.64197	6.63733
1036	46.64202	6.64386
1037	46.64233	6.68958
1038	46.64237	6.69611
1039	46.64245	6.70917
1040	46.64249	6.7157
1041	46.64254	6.72223
1042	46.64258	6.72876
1043	46.64262	6.73529
1044	46.64274	6.75488
1045	46.64278	6.76141
1046	46.64307	6.81365
1047	46.64311	6.82018
1048	46.64315	6.82671
1049	46.63418	6.25871
1050	46.63558	6.40234
1051	46.63637	6.49375
1052	46.63653	6.51334
1053	46.63664	6.5264
1054	46.63669	6.53293
1055	46.63679	6.54599
1056	46.637	6.57211
1057	46.63719	6.59822
1058	46.63724	6.60475
1059	46.63738	6.62434
1060	46.63743	6.63087
1061	46.63747	6.6374
1062	46.63752	6.64393
1063	46.63761	6.65699
1064	46.63765	6.66352
1065	46.6377	6.67005
1066	46.63774	6.67658
1067	46.63816	6.74188
1068	46.63824	6.75494
1069	46.63835	6.77453
1070	46.63839	6.78105
1071	46.62968	6.25881
1072	46.62995	6.28492
1073	46.63188	6.49383
1074	46.63214	6.52648
1075	46.63224	6.53953
1076	46.6326	6.58524
1077	46.63269	6.59829
1078	46.63274	6.60482
1079	46.63279	6.61135
1080	46.63288	6.62441
1081	46.63293	6.63094
1082	46.63298	6.63747
1083	46.63311	6.65706
1084	46.6332	6.67011
1085	46.63324	6.67664
1086	46.63354	6.72235
1087	46.63358	6.72888
1088	46.6337	6.74846
1089	46.63397	6.79417
1090	46.63401	6.8007
1091	46.63408	6.81376
1092	46.62512	6.25238
1093	46.62539	6.27849
1094	46.62676	6.4221
1095	46.62688	6.43516
1096	46.62693	6.44169
1097	46.62759	6.52002
1098	46.628	6.57225
1099	46.62805	6.57878
1100	46.6287	6.67018
1101	46.62875	6.67671
1102	46.62879	6.68323
1103	46.62883	6.68976
1104	46.62892	6.70282
1105	46.62896	6.70935
1106	46.62904	6.72241
1107	46.62908	6.72893
1108	46.62912	6.73546
1109	46.62916	6.74199
1110	46.62936	6.77464
1111	46.6294	6.78116
1112	46.62951	6.80075
1113	46.62042	6.23289
1114	46.62055	6.24595
1115	46.62076	6.26553
1116	46.62082	6.27206
1117	46.62209	6.4026
1118	46.62214	6.40913
1119	46.6222	6.41566
1120	46.62238	6.43524
1121	46.62244	6.44177
1122	46.62272	6.47441
1123	46.62299	6.50704
1124	46.6233	6.54621
1125	46.62335	6.55274
1126	46.6235	6.57232
1127	46.62355	6.57885
1128	46.62365	6.59191
1129	46.62407	6.65066
1130	46.62429	6.6833
1131	46.62434	6.68983
1132	46.62442	6.70288
1133	46.62467	6.74205
1134	46.62482	6.76816
1135	46.62486	6.77469
1136	46.6249	6.78122
1137	46.62494	6.78775
1138	46.61585	6.22647
1139	46.61592	6.23299
1140	46.61599	6.23952
1141	46.61619	6.2591
1142	46.61626	6.26563
1143	46.61633	6.27215
1144	46.61765	6.40922
1145	46.61771	6.41574
1146	46.61816	6.46796
1147	46.61822	6.47449
1148	46.61838	6.49407
1149	46.61844	6.5006
1150	46.61849	6.50712
1151	46.6188	6.54629
